almond, мигдаль
appetite, апетит
apple, яблуко
apple pie, яблучний пиріг
apricot, абрикос
avocado, авокадо
banana, банан
bass, окунь
beef, яловичина
beef stew, рагу з яловичини
beefsteak, біфштекс
bilberry, чорниця
biscuit, печиво
blackberries, ожина
blackcurrant, чорна смородина
blue cheese, сир з пліснявою
blueberries, лохина
blueberry, чорниця
boiled egg, варене яйце
bread, хліб
brown bread, чорний хліб
bunch of grapes, кисть винограду
butter, вершкове масло
candy, льодяник
canned fruit, консервовані фрукти
carbonado, карбонад
caviar, ікра
champignons, печериці
cheese, сир
cherries, вишня
chicken, курча
chili, перець чилі
chocolate, шоколад
chop, відбивна
cocoa, какао
cod, тріска
coffee, кава
coffee seeds, кава в зернах
cognac, коньяк
cold-boiled pork, буженина
collared beef, рулет м'ясний
condensed milk, згущене молоко
condiment, приправа
cookies, печиво
crab, краби
crab cherry, черешня
crab stick, крабова паличка
cranberries, журавлина
croissant, круасан
cucumber, огірок
currant, смородина
cutlet, котлета
dairy, молочний магазин
decaffeinated coffee, кава без кофеїну
drink, напій
eel, вугор
eggplant, баклажан
elderberry, ягода бузини
fern, папороть
fish, риба
fish dishes, рибні страви
flavoured tea, ароматизований чай
flavouring, приправа
flounder, камбала
foodstuff, продукт харчування
fresh bread, свіжий хліб
fried eggs, яєчня
fried potatoes, смажена картопля
fruit dessert, десерт з фруктів
fruit tea, фруктовий чай
frying-pan, пательня
garlic, часник
gooseberries, аґрус
granulated sugar, цукровий пісок
grapefruit, грейпфрут
grapes, виноград
green tea, зелений чай
ground coffee, мелена кава
halibut, палтус
halvah, халва
ham, шинка
hard cheese, твердий сир
herring, оселедець
honey, мед
hot, гострий
huckleberry, чорниця
instant coffee, розчинна кава
jam, варення
juice, сік
kiwi, ківі
lamb, молода баранина
lemon, лимон
lemon tea, чай з лимоном
lemonade, лимонад
lime, лайм
lime juice, лимонний сік
lobster, омар
macaroni, макарони
mackerel, скумбрія
margarine, маргарин
mashed potatoes, картопляне пюре
meat, м'ясо
melon, диня
milk, молоко
milk tea, чай з молоком
mineral water, мінеральна вода
mousse, мус
mushroom, гриб
mussel, мідія
mustard, гірчиця
mutton, баранина
napkin, серветка
natural coffee, натуральна кава
nectarine, нектарин
noodles, локшина
orange, апельсин
overdone, пересмажений
oyster, устриця
pan, каструля
paste, паштет
peach, персик
pear, груша
pepper, перець
perch, окунь
persimmon, хурма
pie, пиріг
pike, щука
pike perch, судак
pineapple, ананас
plums, сливи
pomegranate, гранат (плід)
pork, свинина
poultry, домашня птиця
prawn, велика креветка
processed cheese, плавлений сир
raisins, родзинки
raspberry, малина
rye bread, житній хліб
salami, салямі
salmon, лосось
salt, сіль
salty cheese, солоний сир
sauce, соус
saucer, блюдце
sausage, ковбаса
schnitzel, шніцель
seasoning, приправа
shortcake, пісочне печиво
shrimp, креветка
snail, равлик
snail lobster, лангуст
soft cheese, м'який сир
soup, суп
sour cream, сметана
soy-bean, соя
spice, спеція
spicy, гострий
sprats, шпроти
squid, кальмар
stale bread, черствий хліб
steamed, парене (на парі)
sterile, стерилізоване
stewed meat, тушковане м'ясо
strawberries, полуниця
strong tea, міцний чай
sugar, цукор
sugar substitute, замінник цукру
sugarless, несолодкий
sweet cherries, черешня
sweetener, замінник цукру
sweets, солодощі
swiss cheese, швейцарський сир
tablecloth, скатертина
tablespoon, столова ложка
tangerine, мандарин (плід)
tangerines, мандарини
tea, чай
tomato sauce, томатний соус
trout, форель
tuna, тунець
turbot, палтус
underdone, недосмажений
veal, телятина
vegetable oil, рослинна олія
venison, оленина
vinegar, оцет
vodka, горілка
watermelon, кавун
well-done, добре смажений
wheat bread, пшеничний хліб
whisky, віскі
white bread, білий хліб
white coffee, кава з молоком
wine, вино
yoghurt, йогурт
